# Taxa	W1	W10	W11	W12	W13	W14	W15	W16	W17	W19	W2	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W3	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W4	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W5	W50	W51	W52	W53	W54	W55	W56	W57	W58	W59	W6	W60	W7	W8	W9
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	0.06631016	0.045454545	0.059233449	0	0	0.081081081	0.053571429	0.078638498	0.118429807	0.023529412	0.08168028	0.406451613	0.060536398	0.033290653	0.038725796	0.078417266	0.052884615	0.066468254	0.037151703	0.08662614	0	0.052389706	0.017142857	0.046465969	0.023030303	0	0.038006231	0.020480226	0.096889952	0.036950147	0.038751887	0.037270642	0.069081719	0.060776942	0.018443804	0.039796782	0.02722323	0.04269802	0.045794393	0.071378586	0.034170153	0.011010053	0.028070175	0	0.038961039	0.047109208	0.034163289	0.025936599	0.008513932	0.025382932	0.023214286	0.034557235	0.043205575	0.024811219	0.043165468	0.032967033	0	0	0
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	0.03315508	0.132411067	0.075493612	0.177985948	0.049074074	0.086194302	0.090225564	0.066901408	0.082501663	0.066435986	0.068844807	0.031182796	0.076628352	0.087067862	0.069956277	0.058992806	0.075961538	0.134920635	0.04876161	0.051671733	0.070857143	0.048713235	0.065396825	0.078534031	0.073939394	0.047759434	0.079127726	0.103813559	0.097488038	0.090909091	0.0437846	0.086582569	0.082561078	0.105889724	0.041498559	0.120237087	0.057622505	0.073019802	0.06728972	0.048985304	0.112273361	0.066539014	0.084210526	0.105381166	0.140422078	0.104389722	0.112912565	0.071634417	0.068498452	0.085776805	0.110714286	0.120950324	0.08641115	0.080906149	0.072841727	0.112781955	0.125274725	0.053422371	0.077062557
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	0.034224599	0.02173913	0.089430894	0.051522248	0.011111111	0.014609204	0.04887218	0.017605634	0.0166334	0.017301038	0.043173862	0.035483871	0.006896552	0.015364917	0.021861337	0.018705036	0.017307692	0.021825397	0.030959752	0.025075988	0.023428571	0.018382353	0.014603175	0.015706806	0.032727273	0.027712264	0.034267913	0.03319209	0.022129187	0.009970674	0.011575239	0.013761468	0.032013479	0.028822055	0	0	0.0176951	0.026608911	0	0.059482155	0.036262204	0.018190522	0.021553885	0.02690583	0.035714286	0.011777302	0.021424435	0.016879374	0.018188854	0.014004376	0.014880952	0.021598272	0.019512195	0.033980583	0.022482014	0.013880856	0.073626374	0.043405676	0.026291931
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	0.04171123	0	0.034843206	0.051522248	0.091666667	0	0.054511278	0.025821596	0.051230872	0.03183391	0	0	0.05440613	0.044174136	0.058088695	0.014388489	0.143269231	0.030753968	0.031733746	0.029635258	0.044571429	0.03125	0.01015873	0.064790576	0.035757576	0.036556604	0.022429907	0.016242938	0.030502392	0.033431085	0.023653749	0.029816514	0.077506318	0.021303258	0.058213256	0.049110923	0.018602541	0.035272277	0.020560748	0.032890133	0.058577406	0.03494495	0.036090226	0	0.042207792	0.048179872	0.015634047	0.025524907	0.025928793	0.020568928	0.031547619	0.028077754	0.018118467	0.019417476	0.044964029	0.026026605	0	0.086811352	0.043517679
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	0.056684492	0	0	0.039812646	0.037037037	0.048940833	0.068609023	0.05399061	0.031270792	0	0.057176196	0	0.050574713	0	0.034978139	0.026618705	0.070192308	0	0.058823529	0.028115502	0.06	0.040441176	0.039365079	0.017670157	0.066666667	0.031839623	0.047352025	0	0.016148325	0.010557185	0.025163563	0	0.052232519	0.02443609	0.074927954	0.033022862	0.022686025	0	0.040186916	0	0	0.029200574	0	0.057174888	0.047077922	0.023554604	0.029530979	0.033347056	0.028250774	0.021881838	0	0.032397408	0	0.027508091	0.052158273	0.041642568	0	0.07345576	0.047144152
D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Rhizobiales_D_4__Beijerinckiaceae_D_5__Methylocystis	0.035294118	0.023715415	0	0.030444965	0.02962963	0.040905771	0.031954887	0.029342723	0.023952096	0.029065744	0.046674446	0.035483871	0	0.045454545	0.039975016	0	0.052884615	0.061507937	0.035603715	0.053191489	0	0.041360294	0.050793651	0.028141361	0.032727273	0.033608491	0.044859813	0.043785311	0.034090909	0.055131965	0.030699547	0.041857798	0.031171019	0.05764411	0.031123919	0.044030483	0.0353902	0.051980198	0.08411215	0.063680896	0.068340307	0.048348492	0.044110276	0.033632287	0.051136364	0.02248394	0.060220035	0	0.049922601	0.028008753	0.04702381	0.05687545	0.034843206	0.033980583	0.011690647	0.035858878	0.043956044	0.038397329	0
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Steroidobacterales_D_4__Steroidobacteraceae_D_5__Steroidobacter	0.085561497	0.101778656	0.075493612	0.076112412	0.10462963	0	0.10056391	0.029342723	0.048569528	0.051903114	0.068844807	0.01827957	0.08045977	0	0.0649594	0.112230216	0	0.044642857	0.066563467	0.095744681	0.058857143	0.072610294	0.048888889	0.055628272	0	0.061910377	0.042367601	0.060028249	0.03708134	0.028152493	0.048314041	0.047018349	0.080876158	0.043859649	0.038040346	0.038103302	0.054900181	0.081064356	0	0.023792862	0.035564854	0.082336046	0.053132832	0.100896861	0.034902597	0.043897216	0.034742328	0.030465212	0.025928793	0.018380744	0.036904762	0.046796256	0.060627178	0.05609493	0	0	0.093406593	0	0.06980961
D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__Sphingobacteriaceae_D_5__Solitalea	0	0.031620553	0.039488966	0.053864169	0.057407407	0.065741417	0.04887218	0.022300469	0.029274784	0.073356401	0.039673279	0.009677419	0	0.034571063	0	0.020863309	0.030769231	0.017857143	0.026315789	0.025835866	0.026857143	0.033088235	0.057142857	0.028141361	0.023030303	0.035377358	0.059813084	0.035310734	0.019138756	0.02111437	0.061902365	0.01662844	0.030328559	0	0.023054755	0.027942422	0.015880218	0.025371287	0.028971963	0.018194542	0	0.01866922	0.020551378	0.019058296	0	0.025695931	0.041111754	0.04405105	0.017801858	0.030196937	0.04047619	0.03599712	0.065505226	0.051240561	0.026978417	0	0	0.048414023	0.029918404
D_0__Bacteria_D_1__Verrucomicrobia_D_2__Verrucomicrobiae_D_3__uncultured_D_4__uncultured bacterium_D_5__	0.055614973	0	0.033681765	0	0.034259259	0.029218408	0.039473684	0.020539906	0.02328676	0.04982699	0.049008168	0	0.042145594	0.043533931	0.036851968	0.027338129	0.040384615	0.024801587	0.043343653	0.042553191	0.044571429	0.040441176	0	0.032068063	0.026060606	0.033018868	0.016199377	0.050847458	0.016746411	0	0.054856568	0.023509174	0.043807919	0.027568922	0.031700288	0.036409822	0	0.034034653	0.025233645	0.027991603	0.016039052	0.043082815	0.039097744	0.036995516	0.012175325	0.024625268	0.016213086	0.014409222	0.019736842	0.01619256	0.020238095	0.029517639	0.062020906	0.017799353	0.036870504	0.02313476	0.046153846	0.053422371	0.032638259
D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Flavobacteriales_D_4__Crocinitomicaceae_D_5__Fluviicola	0.075935829	0.061264822	0.033681765	0.022248244	0.036111111	0.059897736	0.046992481	0.024647887	0.031270792	0.041522491	0.018669778	0	0.050574713	0.024327785	0.079950031	0.061870504	0.043269231	0.060515873	0.03250774	0.06231003	0.039428571	0.049632353	0.033015873	0.047120419	0.043636364	0.038915094	0	0	0.031100478	0.039296188	0.042778057	0.05733945	0.053074979	0.019423559	0.038616715	0.038950042	0.037658802	0.043316832	0.03364486	0.027991603	0.033472803	0.025849689	0.023558897	0.093049327	0.015422078	0.034796574	0.018529241	0.039522437	0.035603715	0.028884026	0.039880952	0.03887689	0.082229965	0.060949299	0.055755396	0.013880856	0.052747253	0	0.045330916
