X_features	Y_features	association	p-values	q-values
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	DO	0.08892081207295767	0.5030309199218941	0.8091639312217547
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	SPC	-0.011032914126308298	0.9339034744060815	0.9788838779528589
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	pH	0.13670492157918598	0.3018659279671864	0.6653467096832049
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	NTU	-0.027708308042707446	0.8349808869227902	0.9458028929131788
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	YSI-PC	0.0007753758102959518	0.9953496821153318	1.0
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	YSI-Chl	-0.015448545809189194	0.9075491195998969	0.964392685790708
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	fDOM ppb	0.010123774730656577	0.9393393051097476	0.9792976324816092
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	PO4	-0.12255684892442296	0.35510760903814076	0.7048133704247403
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	NH3	-0.15864481673300568	0.23009304284142137	0.6295608273354087
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	NO3	-0.1211576651446399	0.3606688524383328	0.7118134405315254
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	ECCFU	-0.030584282772117027	0.8181308858554253	0.9344758539586985
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	ECMPN	0.11089608832886548	0.4030609225240087	0.7476766949498267
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	TC 	-0.12657274464119783	0.3394406023975709	0.7003351331704333
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	TIC	-0.142606462640129	0.2812736750981006	0.6551694285355265
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	TN	-0.11964195050189233	0.3667529210823266	0.7195620199343334
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	TOC	-0.07165642865716174	0.5896653290657099	0.8415042408736101
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	CDOM	0.09885310094659898	0.4563405327155534	0.7839952914874075
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	INV	0.057918263749249625	0.6630355064548968	0.8748064289579126
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	PHYC	0.23138046462695933	0.07785763687205345	0.5214807207970457
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Nostocales_D_4__Microcystaceae_D_5__Microcystis PCC-7914	Temp	0.14774350735126848	0.26412267345607704	0.6379418941016606
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	DO	0.3968321233556886	0.0018597709310105527	0.0681516057299351
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	SPC	-0.32651809334073995	0.011603960519196712	0.2024884695102341
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	pH	0.34226335339906994	0.0079689034584606	0.16578642054165488
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	NTU	0.41265944860408243	0.0011624585853225536	0.05079049818947772
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	YSI-PC	0.3487536165608553	0.0067878566108541365	0.15299613313353766
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	YSI-Chl	0.31139684395090594	0.0163623962165283	0.25069729050653056
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	fDOM ppb	-0.43084251457656186	0.000658236289252973	0.03527152946185742
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	PO4	-0.27210824758619423	0.03707826588623929	0.3921183049951557
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	NH3	-0.35231888731839045	0.006206637505029748	0.1427275345286193
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	NO3	-0.18154983801670915	0.1687781917905496	0.5775518858262636
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	ECCFU	-0.27884500507852317	0.03246485213953488	0.36442758923430457
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	ECMPN	-0.25533379226457503	0.05096453717330199	0.4474166478274425
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	TC 	-0.02425482174167154	0.8553116771682201	0.9462394551496427
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	TIC	-0.176271186440678	0.18171952377545308	0.5874598150509809
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	TN	-0.2014670213315348	0.12598605140702623	0.5401307198899667
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	TOC	0.17253572584006113	0.19130070548171907	0.6002537677396785
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	CDOM	0.09240480438791893	0.4863788495548995	0.7963770151259237
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	INV	0.060754832777274094	0.6475959136355962	0.8644758612103847
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	PHYC	0.09877409080672747	0.4567023327797157	0.7841805472154731
D_0__Bacteria_D_1__Cyanobacteria_D_2__Oxyphotobacteria_D_3__Synechococcales_D_4__Cyanobiaceae_D_5__Cyanobium PCC-6307	Temp	0.3680065460145323	0.004135874455167274	0.11185443334925897
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	DO	-0.33647509246209323	0.009169421973443325	0.1783640986615003
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	SPC	0.34211719066530427	0.007997443526129126	0.16578642054165488
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	pH	-0.3215282828638791	0.013021236676739082	0.21881841515940234
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	NTU	-0.03454372765794479	0.7950676099305474	0.9295571505963883
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	YSI-PC	0.10708127543515615	0.419532109990737	0.754334404794994
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	YSI-Chl	0.13583494090652248	0.30498209050381314	0.6688410324562388
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	fDOM ppb	0.11128970984090465	0.4013831343940899	0.7458451415577046
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	PO4	0.29126724339490295	0.025210062806229706	0.31726291151501396
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	NH3	0.23689978675692572	0.070834126234686	0.5214807207970457
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	NO3	0.1292726769133142	0.3291540811368092	0.6863686257227279
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	ECCFU	0.045427358685254306	0.732618231548954	0.9052146084833715
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	ECMPN	0.16869893983651063	0.2015129604158734	0.6034373241013786
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	TC 	0.04938921044148515	0.7102833139887705	0.8991328779710757
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	TIC	0.1463557194621051	0.26868525332497545	0.6382819903328567
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	TN	0.05649238684938778	0.6708500905918817	0.8816354730592059
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	TOC	-0.08302890379674635	0.5318447038946756	0.8199094769526339
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	CDOM	0.1965397317962405	0.13571387547603495	0.5487782678050769
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	INV	0.2529991965607682	0.05319615437399337	0.46049465956164554
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	PHYC	0.15895375188795405	0.2291751202070542	0.6285440283805253
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Methylophilaceae_D_5__MM2	Temp	-0.18060933750092958	0.17103324194166306	0.5812443828355547
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	DO	-0.06031988028864734	0.6499540305332808	0.8666053740443744
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	SPC	0.07053663117820765	0.5955077021753158	0.8415042408736101
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	pH	-0.06420905039309051	0.628992355619337	0.8599853299649884
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	NTU	0.09534531322216114	0.4725535256337058	0.796118291462988
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	YSI-PC	0.03958891152631856	0.7659332005589408	0.9178022600584731
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	YSI-Chl	0.003566991183962081	0.9786093406092538	0.9913502861887928
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	fDOM ppb	-0.113576903119634	0.39171515076179186	0.7360046497939059
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	PO4	0.023084460200327415	0.862223593728771	0.9463632874163129
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	NH3	-0.04575823230331503	0.7307441743725127	0.9038821669067666
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	NO3	-0.0722682010319127	0.5864844038961876	0.8415042408736101
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	ECCFU	0.09281520715383602	0.4844365784215492	0.796118291462988
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	ECMPN	-0.0504391346822009	0.704403855371545	0.8956568301030542
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	TC 	-0.3015277055754176	0.02029630237104758	0.281865519480563
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	TIC	-0.18887510695405774	0.15195295202460038	0.5642754657760071
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	TN	-0.08394369644908463	0.527318224708095	0.8143467961778085
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	TOC	-0.3050158973726405	0.01882284685197456	0.270117431916112
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	CDOM	0.11524349688403591	0.384757894115924	0.7289609201395758
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	INV	0.11328286294978943	0.3929502969807499	0.7367981937572019
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	PHYC	0.0295012024045264	0.8244673656044067	0.9375324597863923
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae___	Temp	0.06113678317925143	0.6455279842431161	0.8627291648237411
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	DO	-0.14568017059743282	0.27092518157593515	0.6423796101951014
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	SPC	0.23167327769580645	0.07747166173398987	0.5214807207970457
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	pH	-0.14521320277494085	0.27248077446402846	0.644334221047328
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	NTU	0.08173644485136812	0.5382724022738602	0.8229274643329667
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	YSI-PC	0.11108540005450865	0.402253482669799	0.7466665952825028
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	YSI-Chl	0.11715189482394385	0.37688222207004785	0.7271542393411216
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	fDOM ppb	-0.06641551504585212	0.6172268275348154	0.8548764643739946
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	PO4	0.25131964637811294	0.05485025337531772	0.46569422895635976
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	NH3	0.1856923583935049	0.15910376181313915	0.5642754657760071
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	NO3	0.08094798171415594	0.5422121554723196	0.8229274643329667
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	ECCFU	0.21229107423370444	0.10648236698221378	0.528391082133987
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	ECMPN	0.12080663771822224	0.36207235939643434	0.7140543934780657
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	TC 	-0.08532995156190679	0.5204955641116832	0.811530198477211
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	TIC	0.054686598791056286	0.6807966581719871	0.8823283367493834
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	TN	-0.039248210311035946	0.7678910282673431	0.9178022600584731
D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Burkholderiaceae_D_5__Limnohabitans	TOC	-0.2518132172057907	0.054359887818610765	0.46360985406863237
