cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae_D_5__Sulfuritalea	SPC;DO;pH;NH3;Temp	0.00018960949479359334
2	D_0__Bacteria_D_1__Actinobacteria_D_2__Actinobacteria_D_3__Corynebacteriales_D_4__Mycobacteriaceae_D_5__Mycobacterium	TN;SPC;DO;pH;NH3;Temp	0.00030910798382369735
3	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Steroidobacterales_D_4__Steroidobacteraceae_D_5__Steroidobacter	SPC;DO;pH	0.00030910798382369735
4	D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Rickettsiales_D_4__Rickettsiaceae_D_5__Candidatus Megaira	CDOM;INV	0.0006718916111479279
5	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__NS11-12 marine group_D_5__uncultured Bacteroidetes bacterium	Temp	0.0008080465241594941
6	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Steroidobacterales_D_4__Steroidobacteraceae_D_5__Steroidobacter	PO4	0.0008080465241594941
7	D_0__Bacteria_D_1__Verrucomicrobia_D_2__Verrucomicrobiae_D_3__Chthoniobacterales_D_4__Chthoniobacteraceae_D_5__Chthoniobacter	SPC;DO;pH;NH3;Temp	0.0013954224488229063
8	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Rhodocyclaceae_D_5__Sulfuritalea;D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Sphingobacteriales_D_4__Lentimicrobiaceae_D_5__wastewater metagenome	fDOM ppb	0.0019801319529174034
9	D_0__Bacteria_D_1__Proteobacteria_D_2__Alphaproteobacteria_D_3__Caulobacterales_D_4__Hyphomonadaceae_D_5__UKL13-1	SPC;DO;pH;NH3;Temp	0.002337481331934219
10	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Betaproteobacteriales_D_4__Neisseriaceae_D_5__uncultured	Temp	0.0023723184454093075
11	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Flavobacteriales_D_4__Flavobacteriaceae_D_5__Flavobacterium	PHYC	0.0026677070381251663
12	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylococcaceae_D_5__Methyloparacoccus	YSI-PC;YSI-Chl;NTU;fDOM ppb	0.00286190080362217
13	D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Flavobacteriales_D_4__Flavobacteriaceae_D_5__Flavobacterium;D_0__Bacteria_D_1__Bacteroidetes_D_2__Bacteroidia_D_3__Cytophagales_D_4__Cytophagaceae_D_5__Cytophaga	TN	0.003151928433644756
14	D_0__Bacteria_D_1__Proteobacteria_D_2__Gammaproteobacteria_D_3__Methylococcales_D_4__Methylomonaceae_D_5__uncultured	DO;pH	0.003535887546175319
