# Sample_ID	W1	W10	W11	W12	W13	W14	W15	W16	W17	W19	W2	W20	W21	W22	W23	W24	W25	W26	W27	W28	W29	W3	W30	W31	W32	W33	W34	W35	W36	W37	W38	W39	W4	W40	W41	W42	W43	W44	W45	W46	W47	W48	W49	W5	W50	W51	W52	W53	W54	W55	W56	W57	W58	W59	W6	W60	W7	W8	W9
DO	7.31	6.45	5.36	5.38	4.57	7.86	5.66	6.82	10.05	8.42	6.37	12.06	16.71	17.49	5.67	4.06	19.63	15.84	20.12	5.27	5.69	5.13	16.66	19.62	20.12	4.56	7.33	13.52	21.13	24.16	7.76	8.42	5.27	22.09	23.94	27.4	6.05	1.82	25.24	25.98	23.0	6.77	6.49	7.74	27.95	26.38	23.06	6.83	6.74	27.94	26.32	24.7	9.9	7.51	8.14	26.87	8.35	4.46	2.45
SPC	185.1	184.9	184.6	184.5	184.7	183.2	184.6	183.8	183.6	183.4	185.5	182.2	182.2	181.7	185.0	187.1	180.6	182.4	179.0	184.8	185.5	186.1	182.1	180.5	179.7	183.7	182.9	181.7	178.6	176.8	181.6	181.8	186.1	177.0	178.5	178.0	184.4	188.9	175.6	176.0	178.2	183.5	182.2	185.0	176.1	176.3	178.5	180.8	182.3	176.7	176.7	176.8	179.3	181.5	184.6	176.2	184.0	186.5	191.4
pH	7.1	7.0	6.94	6.93	6.9	7.11	6.96	7.02	7.26	7.15	7.03	7.57	8.6	8.66	7.01	6.92	8.91	8.35	8.9	6.99	6.9	6.96	8.3	8.8	8.89	6.96	7.07	7.75	9.06	9.34	7.14	7.06	6.97	9.56	9.36	9.56	7.05	6.78	9.38	9.44	9.26	7.1	7.01	7.11	9.49	9.44	9.01	7.07	7.03	9.54	9.39	9.2	7.26	7.05	7.15	9.44	7.12	6.92	6.76
NTU	12.61	15.17	14.77	15.5	14.02	10.77	12.21	13.37	11.22	8.91	12.13	14.24	16.14	19.14	9.41	10.5	23.32	23.74	25.63	9.69	11.52	12.5	18.44	22.51	25.12	9.91	11.58	16.43	13.91	12.72	8.31	8.21	11.86	16.12	15.98	15.46	8.45	12.5	13.83	12.41	11.39	8.84	10.69	11.88	31.16	49.1	29.4	8.08	12.57	18.72	23.36	30.79	9.84	9.88	15.87	25.28	21.02	12.04	14.71
YSI-PC	5.45	8.32	7.78	10.94	6.91	2.33	5.06	6.4	3.47	2.91	5.12	7.25	8.46	6.54	2.1	1.86	10.37	5.18	11.25	2.38	1.86	4.36	10.28	11.24	18.92	2.88	2.03	10.12	7.29	5.34	1.95	1.79	4.3	7.49	4.41	8.21	1.74	1.76	6.51	4.7	3.75	1.71	1.83	5.4	17.78	3.39	10.41	1.7	2.05	9.44	9.16	10.12	2.44	1.91	8.93	6.9	14.48	4.63	2.59
YSI-Chl	27.76	39.49	41.39	55.11	31.57	10.4	24.06	37.62	18.05	15.81	25.07	47.51	37.43	29.39	8.47	8.99	53.08	18.85	61.16	10.02	9.22	20.37	54.47	58.95	102.53	14.96	9.17	59.41	35.5	21.12	9.34	7.69	22.32	49.31	19.05	38.81	7.23	7.85	29.18	15.5	13.86	7.86	9.87	21.89	94.65	12.18	55.18	7.99	10.54	58.93	48.23	47.32	12.0	9.69	44.12	41.16	95.02	25.4	11.44
fDOM	48.17	45.67	46.53	45.24	47.59	48.69	48.8	47.65	49.46	50.57	48.79	47.07	45.31	43.99	48.95	50.06	40.93	42.77	41.67	50.73	50.58	49.45	46.52	44.14	39.75	50.9	48.34	45.71	46.44	45.08	50.74	49.91	49.48	46.01	39.1	42.42	51.64	51.74	45.89	45.55	46.77	50.22	49.26	48.39	36.1	45.78	39.02	50.43	45.55	43.83	43.1	45.38	50.2	49.68	45.67	44.9	45.32	49.3	50.25
PO4	0.846	0.874	0.855	0.892	0.879	0.766	0.912	0.816	0.833	0.827	0.918	0.804	0.768	0.795	0.857	0.871	0.725	0.782	1.118	0.887	0.948	0.838	0.867	0.788	0.847	0.879	0.684	0.792	0.759	0.741	0.805	0.765	0.841	0.762	0.757	0.719	0.857	0.891	0.754	0.694	0.667	0.884	0.721	0.822	0.76	0.758	0.911	0.764	0.699	0.734	0.767	0.735	0.815	0.724	0.84	0.767	0.841	0.869	1.1
NH3	0.2239	0.1618	0.1496	0.1917	0.2179	0.1827	0.2113	0.0981	0.0815	0.1702	0.2977	0.043	0.0254	0.0333	0.3123	0.4309	0.0458	0.0729	0.0248	0.2827	0.4401	0.3792	0.0994	0.0231	0.0468	0.227	0.2596	0.0319	0.018	0.0254	0.1318	0.1568	0.352	0.0295	0.0243	0.0352	0.2911	0.5252	0.0447	0.0274	0.023	0.2022	0.2897	0.1762	0.023	0.0399	0.0567	0.1442	0.3026	0.0407	0.0417	0.0305	0.1069	0.2168	0.1126	0.0284	0.13	0.3307	0.721
NO3	0.042	0.062	0.117	0.076	0.043	0.132	0.176	0.281	0.153	0.158	0.036	0.072	0.025	0.056	0.024	0.099	0.046	0.043	0.042	0.027	0.095	0.041	0.055	0.044	0.056	0.128	0.068	0.034	0.023	0.066	0.168	0.029	0.037	0.013	0.022	0.014	0.03	0.032	0.02	0.012	0.009	0.054	0.085	0.048	0.03	0.039	0.009	0.059	0.104	0.021	0.029	0.011	0.135	0.096	0.084	0.053	0.131	0.241	0.048
ECCFU	25.5	5.5	5.0	3.5	4.0	6.5	5.0	2.0	7.5	14.0	27.0	3.0	14.0	11.0	22.0	21.5	25.5	8.5	6.0	12.0	13.0	21.5	7.5	4.0	4.0	10.5	12.5	3.0	4.5	4.0	6.5	12.5	25.5	1.5	7.5	4.5	14.5	14.5	5.5	4.0	7.5	10.5	12.5	27.5	2.0	11.0	7.5	6.5	11.0	4.0	4.0	6.0	14.5	10.5	10.0	4.0	7.5	20.0	23.0
ECMPN	38.4	6.3	14.8	8.5	6.3	13.1	3.0	6.3	3.1	13.4	45.0	3.1	16.0	8.5	38.9	20.1	42.6	8.4	7.5	14.6	7.3	52.0	9.8	1.0	4.1	8.6	18.7	6.3	6.3	1.0	4.1	16.1	29.2	3.1	2.0	4.1	24.3	12.0	6.3	13.5	6.3	6.3	8.5	33.1	6.3	22.8	7.4	6.3	18.5	10.7	6.2	6.2	22.8	13.2	11.0	1.0	5.2	12.1	14.6
TC 	19.929	22.886	21.046	22.02	21.729	22.895	21.68	21.693	22.119	23.205	21.362	22.862	21.208	21.386	21.172	21.281	20.688	21.674	22.417	22.607	22.559	20.43	22.842	21.482	21.965	22.276	19.405	22.432	22.103	21.437	21.203	22.042	19.977	20.983	20.432	19.523	21.814	20.339	20.24	19.074	19.693	21.049	20.514	21.755	20.647	19.903	21.877	20.437	21.013	20.353	20.457	19.875	22.019	20.486	19.863	21.102	22.706	21.266	22.685
TIC	10.83	12.396	10.96	11.753	11.359	11.466	11.81	11.58	11.489	12.068	11.636	11.806	11.31	11.346	10.757	11.402	10.872	11.063	10.766	11.865	11.701	10.915	11.677	10.964	11.16	11.769	9.491	11.281	11.022	10.834	11.181	11.409	11.03	10.613	10.408	9.677	11.363	10.602	9.734	9.23	9.556	11.256	10.802	11.716	9.96	9.91	10.18	11.066	11.133	10.083	9.997	10.02	11.161	11.045	10.317	10.74	11.833	11.689	12.279
TN	1.119	1.212	1.387	1.371	1.62	1.969	1.406	1.226	1.479	1.727	1.463	1.37	1.357	1.303	1.593	1.675	1.208	1.297	1.151	1.58	1.754	1.575	1.271	1.235	1.22	1.472	1.672	1.355	1.289	1.345	1.439	1.53	1.419	1.289	1.319	1.028	1.544	1.79	1.408	1.227	1.22	1.378	1.568	1.316	1.492	1.218	1.661	1.035	1.558	1.254	1.359	1.223	1.585	1.506	1.23	1.245	1.32	1.554	2.109
TOC	9.099	10.49	10.086	10.267	10.37	11.429	9.87	10.113	10.63	11.137	9.726	11.056	9.898	10.04	10.415	9.879	9.816	10.611	11.651	10.742	10.858	9.515	11.165	10.518	10.805	10.507	9.914	11.151	11.081	10.603	10.022	10.633	8.947	10.37	10.024	9.846	10.451	9.737	10.506	9.844	10.137	9.793	9.712	10.039	10.687	9.993	11.697	9.371	9.88	10.27	10.46	9.855	10.858	9.441	9.546	10.362	10.873	9.577	10.406
CDOM	154.73028	133.06054	221.31328	159.69374	165.8678	121.19666	135.96598	141.0505	135.72386	121.31772	154.85134	177.48956	149.88788	144.44018	120.28871	116.160564	142.50322	125.55482	255.08902	122.64938	112.371386	141.29262	138.6293	123.61786	205.2123	127.49178	117.649602	180.03182	139.47672	148.67728	116.330048	111.705556	141.53474	130.27616	140.08202	139.71884	115.555264	115.68843	151.70378	154.85134	140.68732	114.792586	114.066226	131.3657	181.6056	155.21452	231.36126	115.531052	115.978974	180.87924	136.8134	131.24464	116.390578	115.397886	184.38998	141.89792	165.74674	141.0505	124.94952
