cluster_rank	cluster_X	cluster_Y	best_adjusted_pvalue
1	D_0__Bacteria_D_1__Verrucomicrobia	ECCFU	0.012331025257949813
2	D_0__Bacteria_D_1__Verrucomicrobia	TN;SPC;DO;pH;NH3;Temp	0.012331025257949813
3	D_0__Bacteria_D_1__Cyanobacteria	SPC;DO;pH;NH3;Temp	0.012331025257949813
4	D_0__Bacteria_D_1__Acidobacteria	Temp	0.02029448016250393
5	D_0__Bacteria_D_1__Acidobacteria	PHYC	0.02759778224663307
6	D_0__Bacteria_D_1__Chloroflexi;D_0__Bacteria_D_1__Acidobacteria	CDOM	0.02759778224663307
7	D_0__Bacteria_D_1__Acidobacteria	YSI-PC;YSI-Chl	0.02759778224663307
8	D_0__Bacteria_D_1__Verrucomicrobia	fDOM	0.02759778224663307
9	D_0__Bacteria_D_1__Actinobacteria	SPC	0.02759778224663307
10	D_0__Bacteria_D_1__Bacteroidetes	ECCFU	0.02759778224663307
11	D_0__Bacteria_D_1__Firmicutes	PO4	0.02759778224663307
12	D_0__Bacteria_D_1__Chloroflexi	INV	0.03413461848885447
13	D_0__Bacteria_D_1__Cyanobacteria	ECCFU	0.04511361939398724
14	D_0__Bacteria_D_1__Verrucomicrobia	PHYC	0.04988434132057732
