index,D_0__Bacteria,D_0__Archaea,barcode-sequence,sample-type,pond-name,sample-location,sample-depth,time-of-day,dna-elution-vol,dna-concentration,dna-qual
NC2,221,0,,control_neg,,,,,75,2.7,1.38
NC3,400,23,,control_neg,,,,,75,3.9,1.78
NC4,247,0,,control_neg,,,,,75,2.4,1.95
PCR-blank,45,0,,control_neg,,,,,,,
S10,1491,8,,sediment,Wye,,,,75,17.96,1.75
S11,2288,0,,sediment,Wye,,,,75,17.74,1.85
S2,3286,8,,sediment,Wye,,,,75,17.4,1.88
S3,885,0,,sediment,Wye,,,,75,12.8,2.02
S4,1418,26,,sediment,Wye,,,,75,7.5,2.04
S5,2033,5,,sediment,Wye,,,,75,17.6,1.95
S6,1782,0,,sediment,Wye,,,,75,11.8,1.94
S7,2923,2,,sediment,Wye,,,,75,7.8,2.07
S8,2887,2,,sediment,Wye,,,,75,22.6,1.93
S9,2894,65,,sediment,Wye,,,,75,6.5,2.09
Sed-blank-DIW,11,0,,control_neg,,,,,75,1.17,2.06
Sed-blank-filter,318,0,,control_neg,,,,,75,1.37,1.06
W1,1392,0,,water,Wye,1,1,9,75,44.8,1.98
W10,1364,0,,water,Wye,6,1,9,75,40.3,2.05
W11,1107,0,,water,Wye,7,1,9,75,86.4,2
W12,1293,0,,water,Wye,8,1,9,75,67.5,2.02
W13,1619,0,,water,Wye,8,2,9,75,68.6,2.07
W14,1744,0,,water,Wye,8,3,9,75,36.7,2.02
W15,1526,0,,water,Wye,9,1,9,75,39.4,2.06
W16,2102,0,,water,Wye,10,1,9,75,35.2,1.96
W17,2051,0,,water,Wye,11,1,9,75,56.1,1.86
W18,1937,0,,water,Wye,11,2,9,75,38.6,1.97
W19,2176,0,,water,Wye,11,3,9,75,31.7,1.97
W2,1204,0,,water,Wye,2,1,9,75,48,2.03
W20,1297,0,,water,Wye,12,1,9,75,39.8,1.94
W21,1759,0,,water,Wye,1,1,12,75,27.3,2.03
W22,2335,0,,water,Wye,2,1,12,75,29.6,1.96
W23,2104,0,,water,Wye,2,2,12,75,21.8,1.99
W24,1859,0,,water,Wye,2,3,12,75,26.09,1.92
W25,1461,0,,water,Wye,3,1,12,75,30.3,1.99
W26,1749,0,,water,Wye,4,1,12,75,16.07,2.05
W27,1647,0,,water,Wye,5,1,12,75,51.79,1.95
W28,1869,0,,water,Wye,5,2,12,75,33.44,1.87
W29,2142,0,,water,Wye,5,3,12,75,30.29,1.92
W3,1601,0,,water,Wye,2,2,9,75,32.8,2.14
W30,2215,0,,water,Wye,6,1,12,75,26.36,1.99
W31,2196,0,,water,Wye,7,1,12,75,14.82,2
W32,2330,0,,water,Wye,8,1,12,75,99.99,1.92
W33,2290,2,,water,Wye,8,2,12,75,23.75,1.94
W34,2233,0,,water,Wye,8,3,12,75,34.01,1.94
W35,2054,0,,water,Wye,9,1,12,75,61.87,1.92
W36,2430,0,,water,Wye,10,1,12,75,22,1.94
W37,2437,0,,water,Wye,11,1,12,75,29.07,1.96
W38,2531,0,,water,Wye,11,2,12,75,22.81,1.93
W39,2390,0,,water,Wye,11,3,12,75,22.32,1.92
W4,1688,0,,water,Wye,2,3,9,75,29.8,2.12
W40,2125,0,,water,Wye,12,1,12,75,26.86,1.94
W41,2116,0,,water,Wye,1,1,15,75,36.7,1.63
W42,1597,0,,water,Wye,2,1,15,75,43.55,1.97
W43,2891,0,,water,Wye,2,2,15,75,26.89,1.94
W44,1999,0,,water,Wye,2,3,15,75,27.85,1.9
W45,1440,0,,water,Wye,3,1,15,75,61.28,1.93
W46,1933,0,,water,Wye,4,1,15,75,32.32,1.95
W47,1949,0,,water,Wye,5,1,15,75,38.15,1.9
W48,2714,0,,water,Wye,5,2,15,75,28.9,1.86
W49,2733,0,,water,Wye,5,3,15,75,30.62,1.88
W5,1380,0,,water,Wye,3,1,9,75,24.7,2.15
W50,1699,0,,water,Wye,6,1,15,75,105.34,1.9
W51,2825,2,,water,Wye,7,1,15,75,39.22,1.89
W52,2409,0,,water,Wye,8,1,15,75,153.82,1.9
W53,3305,0,,water,Wye,8,2,15,75,21.14,1.83
W54,3495,0,,water,Wye,8,3,15,75,27.57,1.89
W55,2857,0,,water,Wye,9,1,15,75,65.34,1.9
W56,2669,0,,water,Wye,10,1,15,75,44.96,1.89
W57,2081,0,,water,Wye,11,1,15,75,38.62,1.85
W58,2037,0,,water,Wye,11,2,15,75,24.54,1.86
W59,2763,0,,water,Wye,11,3,15,75,14.59,1.9
W6,1510,0,,water,Wye,4,1,9,75,80,2.04
W60,2559,0,,water,Wye,12,1,15,75,47.53,1.9
W7,1271,0,,water,Wye,5,1,9,75,71.1,2.03
W8,1253,0,,water,Wye,5,2,9,75,32.1,2.12
W9,1423,0,,water,Wye,5,3,9,75,44.3,2.02
Zymo-Pos-Ctrl,701,0,,control_pos,,,,,,50,
