index,D_0__Bacteria;D_1__Cyanobacteria,D_0__Bacteria;D_1__Proteobacteria,D_0__Bacteria;D_1__Bacteroidetes,D_0__Bacteria;D_1__Verrucomicrobia,D_0__Bacteria;D_1__Firmicutes,D_0__Bacteria;D_1__Actinobacteria,D_0__Bacteria;D_1__Planctomycetes,D_0__Bacteria;D_1__Chloroflexi,D_0__Bacteria;D_1__Acidobacteria,D_0__Bacteria;D_1__Omnitrophicaeota,D_0__Archaea;D_1__Euryarchaeota,D_0__Bacteria;D_1__Latescibacteria,D_0__Bacteria;D_1__Chlamydiae,D_0__Archaea;D_1__Nanoarchaeaeota,D_0__Bacteria;D_1__Patescibacteria,D_0__Bacteria;D_1__Nitrospirae,D_0__Bacteria;D_1__Rokubacteria,D_0__Bacteria;D_1__Dependentiae,D_0__Bacteria;D_1__Epsilonbacteraeota,D_0__Bacteria;D_1__Fibrobacteres,D_0__Bacteria;__,D_0__Bacteria;D_1__Gemmatimonadetes,D_0__Bacteria;D_1__LCP-89,D_0__Bacteria;D_1__Spirochaetes,D_0__Bacteria;D_1__Elusimicrobia,D_0__Bacteria;D_1__Cloacimonetes,D_0__Bacteria;D_1__Armatimonadetes,D_0__Bacteria;D_1__Zixibacteria,D_0__Bacteria;D_1__Margulisbacteria,D_0__Bacteria;D_1__Kiritimatiellaeota,D_0__Bacteria;D_1__Lentisphaerae,D_0__Bacteria;D_1__TA06,D_0__Bacteria;D_1__Deinococcus-Thermus,D_0__Bacteria;D_1__WOR-1,D_0__Bacteria;D_1__FCPU426,D_0__Archaea;D_1__Thaumarchaeota,D_0__Bacteria;D_1__Hydrogenedentes,D_0__Bacteria;D_1__Modulibacteria,D_0__Bacteria;D_1__Fusobacteria,D_0__Bacteria;D_1__Acetothermia,barcode-sequence,sample-type,pond-name,sample-location,sample-depth,time-of-day,dna-elution-vol,dna-concentration,dna-qual
NC2,70,105,38,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_neg,,,,,75,2.7,1.38
NC3,124,195,18,54,0,9,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_neg,,,,,75,3.9,1.78
NC4,132,104,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_neg,,,,,75,2.4,1.95
PCR-blank,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_neg,,,,,,,
S10,43,517,417,116,92,71,7,74,30,27,2,3,16,6,8,11,0,12,0,10,13,0,7,2,6,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,17.96,1.75
S11,590,235,91,0,1226,34,6,27,11,2,0,3,6,0,43,0,0,0,0,0,7,0,0,2,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,17.74,1.85
S2,543,530,262,50,1647,119,0,0,37,23,0,7,33,8,21,0,0,4,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,,sediment,Wye,,,,75,17.4,1.88
S3,284,256,104,12,153,10,0,34,13,14,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,12.8,2.02
S4,40,564,242,15,393,27,0,20,32,8,21,0,2,5,20,17,0,0,0,0,5,0,0,20,3,5,0,0,0,3,0,0,0,0,2,0,0,0,0,0,,sediment,Wye,,,,75,7.5,2.04
S5,463,310,200,51,821,87,12,36,5,6,0,4,0,3,22,5,0,0,0,0,6,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,,sediment,Wye,,,,75,17.6,1.95
