index,D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Ignavibacteria,D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria,D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia,D_0__Bacteria;D_1__Chloroflexi;D_2__Chloroflexia,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 18,D_0__Bacteria;D_1__Omnitrophicaeota;D_2__Omnitrophia,D_0__Bacteria;D_1__Bacteroidetes;D_2__Chlorobia,D_0__Archaea;D_1__Euryarchaeota;D_2__Methanomicrobia,D_0__Bacteria;D_1__Actinobacteria;D_2__Acidimicrobiia,D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichia,D_0__Bacteria;D_1__Latescibacteria;__,D_0__Bacteria;D_1__Chlamydiae;D_2__Chlamydiae,D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Nanohaloarchaeia,D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia,D_0__Bacteria;D_1__Nitrospirae;D_2__Thermodesulfovibrionia,D_0__Bacteria;D_1__Patescibacteria;D_2__Gracilibacteria,D_0__Bacteria;D_1__Acidobacteria;D_2__Holophagae,D_0__Bacteria;D_1__Acidobacteria;D_2__Aminicenantia,D_0__Bacteria;D_1__Rokubacteria;D_2__NC10,D_0__Bacteria;D_1__Acidobacteria;D_2__Acidobacteriia,D_0__Bacteria;D_1__Patescibacteria;D_2__ABY1,D_0__Bacteria;D_1__Chloroflexi;D_2__KD4-96,D_0__Bacteria;D_1__Dependentiae;D_2__Babeliae,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 17,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 6,D_0__Bacteria;D_1__Epsilonbacteraeota;D_2__Campylobacteria,D_0__Bacteria;D_1__Chloroflexi;D_2__Dehalococcoidia,D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia,D_0__Bacteria;D_1__Acidobacteria;D_2__Blastocatellia (Subgroup 4),D_0__Bacteria;D_1__Patescibacteria;D_2__Parcubacteria,D_0__Bacteria;D_1__Nitrospirae;D_2__4-29-1,D_0__Bacteria;D_1__Fibrobacteres;D_2__Fibrobacteria,D_0__Bacteria;__;__,D_0__Archaea;D_1__Nanoarchaeaeota;D_2__Woesearchaeia,D_0__Bacteria;D_1__Gemmatimonadetes;D_2__Gemmatimonadetes,D_0__Bacteria;D_1__Chloroflexi;D_2__SL56 marine group,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 21,D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81,D_0__Bacteria;D_1__Patescibacteria;D_2__Berkelbacteria,D_0__Bacteria;D_1__Omnitrophicaeota;D_2__uncultured bacterium,D_0__Bacteria;D_1__LCP-89;__,D_0__Bacteria;D_1__Spirochaetes;D_2__Spirochaetia,D_0__Bacteria;D_1__Elusimicrobia;D_2__Endomicrobia,D_0__Bacteria;D_1__Planctomycetes;D_2__Phycisphaerae,D_0__Bacteria;D_1__Firmicutes;D_2__Negativicutes,D_0__Bacteria;D_1__Spirochaetes;D_2__Leptospirae,D_0__Bacteria;D_1__Omnitrophicaeota;D_2__Candidatus Omnitrophus magneticus,D_0__Bacteria;D_1__Nitrospirae;D_2__Nitrospira,D_0__Bacteria;D_1__Cloacimonetes;D_2__Cloacimonadia,D_0__Bacteria;D_1__Omnitrophicaeota;D_2__Omnitrophica WOR_2 bacterium RIFCSPLOWO2_12_FULL_51_24,D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIa,D_0__Bacteria;D_1__Armatimonadetes;D_2__Fimbriimonadia,D_0__Bacteria;D_1__Zixibacteria;__,D_0__Bacteria;D_1__Omnitrophicaeota;__,D_0__Bacteria;D_1__Chloroflexi;D_2__Ktedonobacteria,D_0__Bacteria;D_1__Latescibacteria;D_2__uncultured bacterium,D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIc,D_0__Bacteria;D_1__Margulisbacteria;D_2__uncultured bacterium,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 19,D_0__Bacteria;D_1__Kiritimatiellaeota;D_2__Kiritimatiellae,D_0__Bacteria;D_1__Lentisphaerae;D_2__Lentisphaeria,D_0__Bacteria;D_1__Cyanobacteria;D_2__Sericytochromatia,D_0__Bacteria;D_1__Zixibacteria;D_2__uncultured bacterium,D_0__Bacteria;D_1__Bacteroidetes;D_2__OC31,D_0__Bacteria;D_1__Planctomycetes;D_2__OM190,D_0__Bacteria;D_1__Acidobacteria;D_2__Subgroup 22,D_0__Bacteria;D_1__Spirochaetes;D_2__Brachyspirae,D_0__Bacteria;D_1__TA06;D_2__uncultured bacterium,D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci,D_0__Bacteria;D_1__Actinobacteria;D_2__MB-A2-108,D_0__Bacteria;D_1__Elusimicrobia;D_2__Elusimicrobia,D_0__Bacteria;D_1__Patescibacteria;D_2__CPR2,D_0__Bacteria;D_1__WOR-1;D_2__candidate division WOR-1 bacterium RIFOXYA12_FULL_43_27,D_0__Bacteria;D_1__FCPU426;D_2__uncultured Syntrophaceae bacterium,D_0__Bacteria;D_1__Acidobacteria;D_2__uncultured Acidobacterium sp.,D_0__Archaea;D_1__Thaumarchaeota;D_2__Nitrososphaeria,D_0__Bacteria;D_1__Margulisbacteria;D_2__uncultured Gram-positive bacterium,D_0__Bacteria;D_1__Planctomycetes;D_2__SGST604,D_0__Bacteria;D_1__Actinobacteria;__,D_0__Bacteria;D_1__Elusimicrobia;D_2__Lineage IIb,D_0__Bacteria;D_1__Hydrogenedentes;D_2__Hydrogenedentia,D_0__Archaea;D_1__Euryarchaeota;D_2__Thermoplasmata,D_0__Bacteria;D_1__Modulibacteria;D_2__Moduliflexia,D_0__Bacteria;D_1__Firmicutes;D_2__BRH-c20a,D_0__Bacteria;D_1__Elusimicrobia;D_2__Rs-M47,D_0__Bacteria;D_1__Firmicutes;__,D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia,D_0__Bacteria;D_1__Acetothermia;D_2__Acetothermiia,D_0__Bacteria;D_1__Planctomycetes;D_2__vadinHA49,barcode-sequence,sample-type,pond-name,sample-location,sample-depth,time-of-day,dna-elution-vol,dna-concentration,dna-qual
NC2,70,94,11,28,0,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_neg,,,,,75,2.7,1.38
NC3,124,101,94,18,54,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_neg,,,,,75,3.9,1.78
NC4,132,63,39,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_neg,,,,,75,2.4,1.95
PCR-blank,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_neg,,,,,,,
S10,39,146,246,396,116,52,4,5,38,7,21,52,125,58,0,0,6,0,2,0,0,0,16,2,0,11,4,2,7,0,5,2,2,12,16,0,0,20,6,0,2,0,10,13,4,0,0,0,0,0,15,7,2,3,0,2,0,0,0,5,2,0,0,4,4,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,17.96,1.75
S11,565,92,53,76,0,965,23,32,241,6,15,10,90,2,0,8,0,0,0,0,20,3,6,0,0,0,2,0,0,0,0,12,17,0,3,0,0,0,0,0,19,0,0,7,0,0,0,0,0,8,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,17.74,1.85
S2,519,221,88,208,50,1370,24,0,249,0,19,0,221,107,0,12,0,35,0,0,28,7,33,0,0,0,5,0,16,0,0,14,0,4,0,6,0,0,12,0,0,0,4,2,8,0,0,0,0,2,18,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,17.4,1.88
S3,284,167,80,101,12,99,0,0,54,0,3,34,9,10,0,0,10,0,0,0,0,0,3,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,12.8,2.02
S4,40,350,107,217,15,303,0,5,88,0,25,14,107,22,0,0,0,0,21,0,0,0,2,0,0,6,20,0,4,0,15,0,0,0,0,2,0,6,0,0,0,11,0,5,5,0,0,9,0,0,6,0,14,3,0,2,6,0,0,5,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,7.5,2.04
S5,448,139,48,186,51,659,12,20,162,12,5,36,123,58,0,0,0,9,0,0,0,4,0,0,0,5,22,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,9,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,17.6,1.95
S6,243,381,107,158,52,167,2,0,91,0,22,47,282,0,0,48,32,0,0,0,0,17,7,0,4,23,0,0,22,0,0,5,0,6,0,2,0,18,0,0,6,0,0,12,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,11.8,1.94
S7,253,652,175,763,139,141,0,0,78,2,40,273,163,41,0,21,28,0,0,0,0,0,2,0,14,0,0,12,4,19,0,2,0,15,0,16,0,4,0,0,13,0,3,2,2,9,0,0,0,2,5,0,7,5,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,7.8,2.07
S8,906,182,46,132,8,1080,12,35,160,22,15,57,104,3,0,4,0,21,0,4,0,0,7,0,7,0,22,0,0,0,0,28,0,4,0,0,5,0,0,0,2,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,,sediment,Wye,,,,75,22.6,1.93
S9,254,440,270,715,150,248,0,9,50,6,11,268,242,27,0,0,39,0,44,8,3,25,2,0,6,2,0,22,27,0,0,0,0,17,0,0,0,0,0,0,3,0,2,10,21,0,0,0,0,0,5,0,7,7,7,0,0,0,6,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,sediment,Wye,,,,75,6.5,2.09
Sed-blank-DIW,4,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,control_neg,,,,,75,1.17,2.06
