index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria,70,124,132,0,39,565,519,284,40,448,243,253,906,254,4,135,544,533,345,585,564,588,599,710,924,798,836,458,854,668,972,646,645,551,1021,453,724,491,621,777,854,855,653,812,824,1191,1026,695,858,667,851,471,615,856,553,485,695,739,770,943,586,682,1298,937,1086,1087,817,1241,954,814,1119,502,1104,458,670,388,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria,94,101,63,45,146,92,221,167,350,139,381,652,182,440,0,100,342,293,412,385,534,405,467,669,507,437,431,302,144,525,566,649,602,425,255,601,466,845,381,565,536,658,700,674,517,444,543,773,599,510,505,769,476,817,672,429,502,531,931,767,380,534,618,650,1070,978,826,604,433,440,651,312,705,347,274,543,246
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria,11,94,39,0,246,53,88,80,107,48,107,175,46,270,0,0,83,66,90,73,96,175,81,151,147,103,144,95,91,94,148,150,64,112,82,127,126,119,103,174,167,204,202,141,171,180,237,161,193,82,202,198,117,241,167,171,255,192,242,227,62,217,138,226,165,342,262,162,162,88,185,106,216,100,52,39,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia,28,18,0,0,396,76,208,101,217,186,158,763,132,715,7,46,284,370,185,145,287,375,240,374,349,421,515,216,163,308,426,436,308,234,250,259,308,357,355,463,411,375,469,317,298,409,316,489,443,259,317,465,271,602,347,182,315,275,385,371,240,173,452,385,557,557,563,438,341,430,539,413,314,234,155,315,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae,0,54,11,0,116,0,50,12,15,51,52,139,8,150,0,8,90,31,49,54,70,112,94,90,60,136,120,76,7,102,122,119,99,67,88,121,137,158,86,43,93,92,144,110,122,86,74,211,128,112,76,86,65,69,139,80,73,71,194,184,71,20,110,51,140,198,123,83,105,174,143,103,96,88,45,87,0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia,0,0,0,0,52,965,1370,99,303,659,167,141,1080,248,0,0,8,0,4,2,0,15,2,0,0,4,5,7,16,0,0,5,9,0,16,2,0,14,3,0,14,3,0,14,11,18,45,6,26,0,13,0,14,9,4,11,20,14,0,16,9,12,13,15,0,39,3,2,9,4,7,8,14,13,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Melainabacteria,0,0,0,0,4,23,24,0,0,12,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria,8,9,0,0,5,32,0,0,5,20,0,0,35,9,0,0,0,19,0,0,20,0,0,15,0,0,15,0,16,0,15,0,29,15,0,45,0,0,10,25,0,58,17,31,24,14,35,29,0,19,26,29,0,16,18,47,20,45,41,44,0,14,55,0,50,25,70,44,27,21,17,10,0,0,22,5,0
D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli,0,0,0,0,38,241,249,54,88,162,91,78,160,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,3,0,0,0,0,0,0,455
D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia,0,0,0,0,7,6,0,0,0,12,0,2,22,6,0,4,10,0,0,10,3,0,0,0,22,0,15,13,0,0,21,21,0,0,26,0,16,31,0,0,26,15,0,0,0,7,12,6,0,0,36,0,0,52,24,0,6,21,6,16,0,0,11,34,18,34,43,4,0,0,12,7,20,0,0,4,0
