index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Trachydiscus minutus,0,0,0,0,0,0,0,0,0,0,58,69,57,0,4,0,0,67,0,5,112,84,128,57,32,92,55,71,61,0,171,59,101,34,121,64,87,75,159,21,18,171,80,50,15,98,38,27,46,89,121,114,108,96,85,122,70,65,77,83,70,83,137,88,139,82,35,139,83,92,148,47,124,0,88,54,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Microcystaceae,0,0,120,0,0,0,0,0,0,0,0,0,0,19,0,0,62,46,51,0,0,111,57,134,178,96,34,70,378,79,53,62,109,55,67,48,114,0,57,27,71,38,0,61,29,162,65,77,65,82,97,32,47,60,69,49,102,49,23,56,0,48,88,59,63,22,58,39,48,62,46,48,57,0,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae,55,8,0,0,0,4,0,95,0,0,0,0,0,0,0,12,31,134,65,152,53,118,96,114,124,97,96,59,29,100,136,112,82,79,136,63,68,124,53,103,120,122,81,127,147,163,155,87,151,98,169,72,142,127,120,72,70,161,139,168,94,173,195,195,174,177,196,186,168,124,150,81,195,114,32,85,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Methylophilaceae,0,37,0,0,0,0,3,0,0,0,39,0,0,51,0,0,61,22,96,63,35,73,88,102,25,74,81,63,33,51,44,87,74,73,57,123,68,122,58,106,60,97,108,94,103,83,64,90,69,72,83,92,34,114,99,32,122,112,95,128,54,69,95,99,135,158,145,129,101,68,103,62,112,113,54,89,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;__,15,0,12,0,35,406,288,115,30,338,110,98,500,166,0,65,375,151,125,215,183,192,198,226,166,330,361,186,236,359,405,254,303,283,450,168,330,190,186,322,470,304,316,335,429,434,543,383,414,266,243,204,178,422,222,196,210,321,358,409,283,222,491,363,451,521,333,524,421,361,490,186,366,219,359,139,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Methylococcales;D_4__Methylococcaceae,0,0,0,0,0,29,33,37,0,28,0,0,88,36,0,10,39,36,30,70,134,16,58,89,105,59,46,0,0,85,95,150,80,149,56,41,100,110,45,45,99,59,156,87,52,78,83,119,86,141,60,101,83,229,158,53,99,113,163,118,46,68,109,53,162,158,82,53,71,65,87,64,98,14,78,120,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae,47,12,19,0,28,6,0,7,58,0,83,153,0,84,0,58,86,0,71,94,124,201,142,228,105,142,122,66,0,155,234,174,143,160,27,245,80,337,116,213,124,316,175,281,120,55,50,292,124,85,79,380,158,170,103,201,69,75,129,190,88,219,168,214,307,350,366,114,83,82,168,88,267,39,91,140,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Nannochloropsis oceanica,0,41,0,0,0,26,39,0,0,28,0,35,90,0,0,33,39,13,0,64,66,34,57,63,132,42,48,24,0,41,31,47,50,45,79,50,25,54,60,52,62,44,41,66,53,55,28,26,55,51,28,0,52,48,51,31,52,57,62,60,56,32,81,62,82,69,63,70,31,36,43,25,46,46,72,58,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae,0,0,39,0,129,43,64,48,57,32,72,62,40,88,0,0,33,24,0,26,32,56,34,50,36,0,42,40,33,0,71,64,0,55,62,46,70,0,45,80,43,54,57,72,62,57,94,61,73,37,92,66,52,78,84,90,91,98,101,88,30,63,42,104,0,129,64,79,79,50,63,13,62,40,23,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Steroidobacteraceae,0,34,33,0,0,0,6,18,42,8,106,98,14,58,0,12,80,124,85,84,135,32,107,50,73,122,115,82,17,134,53,133,156,0,58,86,126,103,79,77,113,0,105,109,124,62,81,96,134,124,70,108,82,145,131,24,58,81,234,106,115,43,82,114,120,67,42,100,97,132,132,0,47,85,0,77,0
