index,NC2,NC3,NC4,PCR-blank,S10,S11,S2,S3,S4,S5,S6,S7,S8,S9,Sed-blank-DIW,Sed-blank-filter,W1,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W2,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W3,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W4,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W5,W50,W51,W52,W53,W54,W55,W56,W57,W58,W59,W6,W60,W7,W8,W9,Zymo-Pos-Ctrl
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Trachydiscus minutus;D_5__,0,0,0,0,0,0,0,0,0,0,58,69,57,0,4,0,0,67,0,5,112,84,128,57,32,92,55,71,61,0,171,59,101,34,121,64,87,75,159,21,18,171,80,50,15,98,38,27,46,89,121,114,108,96,85,122,70,65,77,83,70,83,137,88,139,82,35,139,83,92,148,47,124,0,88,54,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Nostocales;D_4__Microcystaceae;D_5__Microcystis PCC-7914,0,0,120,0,0,0,0,0,0,0,0,0,0,19,0,0,62,46,51,0,0,111,57,134,178,96,34,70,378,79,53,62,109,55,67,48,114,0,57,27,71,38,0,61,29,162,63,77,65,82,97,32,47,60,69,49,102,49,23,56,0,48,88,59,63,22,58,39,48,62,46,48,57,0,0,0,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Synechococcales;D_4__Cyanobiaceae;D_5__Cyanobium PCC-6307,55,8,0,0,0,4,0,95,0,0,0,0,0,0,0,12,31,134,65,152,53,118,96,114,124,97,96,59,29,100,136,112,82,79,136,63,68,124,53,103,120,122,81,127,147,163,155,87,151,98,169,72,142,127,118,72,70,161,139,168,94,173,195,195,174,177,196,186,168,124,150,81,195,114,32,85,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Methylophilaceae;D_5__MM2,0,37,0,0,0,0,0,0,0,0,39,0,0,51,0,0,32,22,77,44,12,20,52,30,25,42,25,37,33,9,24,35,26,18,22,40,33,41,20,23,24,54,47,55,47,37,17,23,24,38,46,0,0,39,43,0,85,52,38,43,24,44,22,37,41,47,32,25,30,28,63,25,24,67,26,29,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;__;__,15,0,12,0,35,406,288,115,30,338,110,98,500,166,0,65,375,151,125,215,183,192,198,226,166,330,361,186,236,359,405,254,303,283,450,168,330,190,186,322,470,304,316,335,429,434,543,383,414,266,243,204,178,422,222,196,210,321,358,409,283,222,491,363,451,521,333,524,421,361,490,186,366,219,359,139,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Methylococcales;D_4__Methylococcaceae;__,0,0,0,0,0,29,0,0,0,0,0,0,49,24,0,10,39,0,30,44,99,0,58,44,77,59,46,0,0,71,69,93,20,149,31,41,39,78,34,16,99,59,62,36,23,51,57,47,52,92,34,101,58,41,57,22,47,84,73,72,0,52,90,27,62,67,47,53,39,26,36,50,45,0,52,48,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Betaproteobacteriales;D_4__Burkholderiaceae;D_5__Limnohabitans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,34,40,67,73,92,47,47,0,49,0,66,0,56,37,73,0,76,37,105,44,62,27,110,54,76,0,27,18,50,0,62,39,130,39,50,0,43,0,0,61,0,51,58,44,51,81,73,50,0,45,0,51,58,72,0,44,52,0
D_0__Bacteria;D_1__Cyanobacteria;D_2__Oxyphotobacteria;D_3__Chloroplast;D_4__Nannochloropsis oceanica;D_5__,0,41,0,0,0,26,39,0,0,28,0,35,90,0,0,33,39,13,0,64,66,34,57,63,132,42,48,24,0,41,31,47,50,45,79,50,25,54,60,52,62,44,41,66,53,55,28,26,55,51,28,0,52,48,51,31,52,57,62,60,56,32,81,62,82,69,63,70,31,36,43,25,46,46,72,58,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Beijerinckiaceae;D_5__Methylocystis,0,0,39,0,129,43,64,48,57,32,72,62,40,88,0,0,33,24,0,26,32,56,34,50,36,0,42,40,33,0,71,64,0,55,62,46,70,0,45,80,43,54,57,72,62,57,94,61,73,37,92,54,52,78,84,90,91,98,101,88,30,63,42,104,0,129,64,79,79,50,63,13,62,40,23,0,0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Steroidobacterales;D_4__Steroidobacteraceae;D_5__Steroidobacter,0,34,33,0,0,0,0,0,0,8,0,0,0,0,0,0,80,103,65,65,113,0,107,50,73,79,75,59,17,105,2,104,156,0,45,86,126,103,79,77,85,0,105,68,85,62,48,96,82,96,70,66,45,121,131,0,34,51,172,106,90,43,82,60,74,67,42,62,65,87,104,0,0,85,0,77,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Sphingobacteriales;D_4__Sphingobacteriaceae;D_5__Solitalea,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,34,46,62,90,52,38,44,77,106,34,9,0,54,0,29,32,18,34,34,47,36,90,43,38,60,96,50,32,36,123,29,36,0,40,33,35,41,31,26,0,39,41,17,0,48,71,107,46,69,68,50,94,95,30,0,0,29,33,0
D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__uncultured;D_4__uncultured bacterium;D_5__,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,29,0,37,40,42,35,35,57,72,42,0,55,68,59,38,42,25,56,56,78,44,0,49,43,56,26,72,28,0,109,41,52,44,55,43,0,55,27,40,23,90,78,33,15,46,28,35,51,37,34,41,89,33,41,40,42,32,36,0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Flavobacteriales;D_4__Crocinitomicaceae;D_5__Fluviicola,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,9,71,62,29,19,39,82,50,42,47,98,60,16,0,66,38,128,86,45,61,42,82,69,54,52,72,72,66,0,0,52,67,85,100,63,31,67,46,83,70,36,40,48,54,47,83,19,65,32,96,92,66,67,54,118,113,62,24,48,0,50,0
